2015-02-11 21:20:32,631 [main] INFO  org.apache.spark.SecurityManager - Changing view acls to: bshi
2015-02-11 21:20:32,633 [main] INFO  org.apache.spark.SecurityManager - Changing modify acls to: bshi
2015-02-11 21:20:32,635 [main] INFO  org.apache.spark.SecurityManager - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(bshi); users with modify permissions: Set(bshi)
2015-02-11 21:20:33,461 [sparkDriver-akka.actor.default-dispatcher-3] INFO  akka.event.slf4j.Slf4jLogger - Slf4jLogger started
2015-02-11 21:20:34,086 [main] INFO  org.apache.spark.util.Utils - Successfully started service 'sparkDriver' on port 65510.
2015-02-11 21:20:34,118 [main] INFO  org.apache.spark.SparkEnv - Registering MapOutputTracker
2015-02-11 21:20:34,152 [main] INFO  org.apache.spark.SparkEnv - Registering BlockManagerMaster
2015-02-11 21:20:34,185 [main] INFO  org.apache.spark.storage.DiskBlockManager - Created local directory at /var/folders/xd/klsl6smd0k1bng2ftnkynmbc0000gn/T/spark-local-20150211212034-09e0
2015-02-11 21:20:34,194 [main] INFO  org.apache.spark.storage.MemoryStore - MemoryStore started with capacity 491.7 MB
2015-02-11 21:20:35,739 [main] WARN  org.apache.hadoop.util.NativeCodeLoader - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2015-02-11 21:20:35,907 [main] INFO  org.apache.spark.HttpFileServer - HTTP File server directory is /var/folders/xd/klsl6smd0k1bng2ftnkynmbc0000gn/T/spark-f65ebcf0-8289-44de-9524-ff4611ea584a
2015-02-11 21:20:35,917 [main] INFO  org.apache.spark.HttpServer - Starting HTTP Server
2015-02-11 21:20:36,142 [main] INFO  org.apache.spark.util.Utils - Successfully started service 'HTTP file server' on port 65511.
2015-02-11 21:20:36,368 [main] INFO  org.apache.spark.util.Utils - Successfully started service 'SparkUI' on port 4040.
2015-02-11 21:20:36,372 [main] INFO  org.apache.spark.ui.SparkUI - Started SparkUI at http://192.168.1.101:4040
